Gene Mut Mean_score Value Simulations Pval Qval
ENSG00000214970 2 0.6701585 23 100 0.23 1
ENSG00000224017 1 1.38662866666667 23 100 0.23 1
ENSG00000224204 1 0.224125666666667 23 100 0.23 1
ENSG00000224812 1 0.131367666666667 23 100 0.23 1
ENSG00000231877 3 0.0253246666666667 23 100 0.23 1
ENSG00000232458 1 0.338607666666667 23 100 0.23 1
ENSG00000233684 1 0.0497563333333333 23 100 0.23 1
ENSG00000236682 1 0.0717166666666667 23 100 0.23 1
ENSG00000237667 1 -0.009056 23 100 0.23 1
ENSG00000243766 1 0.689063 23 100 0.23 1
ENSG00000244040 2 0.590947 23 100 0.23 1
ENSG00000248329 1 0.884021 23 100 0.23 1
ENSG00000251129 1 0.128095666666667 23 100 0.23 1
ENSG00000251367 1 0.116659 23 100 0.23 1
ENSG00000253106 1 0.155907333333333 23 100 0.23 1
ENSG00000253766 1 -0.0139726666666667 23 100 0.23 1
ENSG00000253992 1 0.391149666666667 23 100 0.23 1
ENSG00000255599 1 0.389006 23 100 0.23 1
ENSG00000255871 2 0.0865715 23 100 0.23 1
ENSG00000259351 1 0.312041666666667 23 100 0.23 1
ENSG00000259640 1 0.218116333333333 23 100 0.23 1
ENSG00000260322 1 0.442793 23 100 0.23 1
ENSG00000262681 1 0.135415333333333 23 100 0.23 1
ENSG00000263345 1 3.78362366666667 23 100 0.23 1
ENSG00000263412 1 0.577964666666667 23 100 0.23 1
ENSG00000267016 1 0.314087666666667 23 100 0.23 1
ENSG00000267383 2 0.038434 23 100 0.23 1
ENSG00000269486 1 0.322554 23 100 0.23 1
ENSG00000271147 2 0.694997166666667 23 100 0.23 1
ENSG00000271776 1 1.437312 23 100 0.23 1
ENSG00000272382 3 0.16875 23 100 0.23 1
ENSG00000272862 1 0.114044 23 100 0.23 1
ENSG00000183535 1 0.0708773333333333 24 100 0.24 1
ENSG00000196273 1 -0.0462716666666667 24 100 0.24 1
ENSG00000205325 2 0.0583773333333333 24 100 0.24 1
ENSG00000214942 2 -0.0396765 24 100 0.24 1
ENSG00000224506 1 0.329221666666667 24 100 0.24 1
ENSG00000235565 1 0.244633333333333 24 100 0.24 1
ENSG00000236581 1 -0.038835 24 100 0.24 1
ENSG00000236948 1 0.210851666666667 24 100 0.24 1
ENSG00000241014 1 0.126447666666667 24 100 0.24 1
ENSG00000242687 1 -0.0942126666666667 24 100 0.24 1
ENSG00000248015 2 0.0741308333333333 24 100 0.24 1
ENSG00000251567 1 0.106386666666667 24 100 0.24 1
ENSG00000251586 1 0.264655666666667 24 100 0.24 1
ENSG00000258882 1 0.449316666666667 24 100 0.24 1
ENSG00000259462 2 0.612088 24 100 0.24 1
ENSG00000260249 1 0.0812663333333333 24 100 0.24 1
ENSG00000261184 1 0.153842666666667 24 100 0.24 1
ENSG00000265555 1 0.0270533333333333 24 100 0.24 1
ENSG00000271811 1 1.10125833333333 24 100 0.24 1
ENSG00000272732 1 0.129634666666667 24 100 0.24 1
ENSG00000273175 1 0.691361 24 100 0.24 1
ENSG00000005206 2 0.644808333333333 25 100 0.25 1
ENSG00000223855 1 0.608202333333333 25 100 0.25 1
ENSG00000225206 1 1.733211 25 100 0.25 1
ENSG00000225879 1 -0.0267203333333333 25 100 0.25 1
ENSG00000228189 1 0.0547386666666667 25 100 0.25 1
ENSG00000228784 1 0.177980333333333 25 100 0.25 1
ENSG00000233536 1 0.447166666666667 25 100 0.25 1
ENSG00000233760 2 0.798634166666667 25 100 0.25 1
ENSG00000234149 1 1.425156 25 100 0.25 1
ENSG00000242973 1 1.03478433333333 25 100 0.25 1
ENSG00000248346 1 0.035846 25 100 0.25 1
